"time","NZL Wind Direction (Degs)","NZL Wind Speed (M/Sec)","NZL Lat","NZL Long","NZL time_time","NZL time diff","NZL_Lat_difference","NZL_Long_difference","NZL_Distance.to.next","NZL_Speed","Wind Direction (Degs) (#1)","Wind Speed (M/Sec) (#1)","USA Lat","USA Long","USA time_time (#1)","USA time diff","USA_Lat_difference","USA_Long_difference","USA_Distance.to.next","USA_Speed","Distance_NZL_USA"
"13:58:14",262.3,17.2,37.8130095,-122.4539398,"13:58:14",1.0,2.7000000002885827E-5,-4.38000000002603E-5,2.6474400001786364E-9,2.6474400001786364E-9,262.3,17.2,37.8234377,-122.4571927,"13:58:14",1.0,-1.679999999737447E-5,-2.6400000010085023E-5,9.792000004442714E-10,9.792000004442714E-10,0.010923768289832358
"13:58:15",262.3,17.2,37.8130365,-122.4539836,"13:58:15",1.0,2.849999999909869E-5,-4.579999999521078E-5,2.9098899995099333E-9,2.9098899995099333E-9,262.3,17.2,37.8234209,-122.4572191,"13:58:15",1.0,-1.9999999999242846E-5,-3.4499999998161E-5,1.590249999842823E-9,1.590249999842823E-9,0.010876774503960511
"13:58:16",262.3,17.3,37.813065,-122.4540294,"13:58:16",1.0,2.9099999999004922E-5,-4.3200000007459494E-5,2.7130500005865867E-9,2.7130500005865867E-9,262.3,17.3,37.8234009,-122.4572536,"13:58:16",1.0,-1.6100000003405057E-5,-3.28999999936741E-5,1.3416199996933986E-9,1.3416199996933986E-9,0.010827109237929518
"13:58:17",262.3,17.3,37.8130941,-122.4540726,"13:58:17",1.0,3.249999999610509E-5,-4.520000000240998E-5,3.0992899999646926E-9,3.0992899999646926E-9,262.3,17.3,37.8233848,-122.4572865,"13:58:17",1.0,-1.2499999996862243E-5,-3.399999999942338E-5,1.312249999882346E-9,1.312249999882346E-9,0.010780893270036592
"13:58:18",262.3,17.3,37.8131266,-122.4541178,"13:58:18",1.0,3.470000000049822E-5,-4.759999998782405E-5,3.4698499988754256E-9,3.4698499988754256E-9,262.3,17.3,37.8233723,-122.4573205,"13:58:18",1.0,-8.300000004624053E-6,-3.490000000283544E-5,1.286900000274673E-9,1.286900000274673E-9,0.010734600867291041
"13:58:19",262.2,17.4,37.8131613,-122.4541654,"13:58:19",1.0,3.480000000166683E-5,-4.870000000778418E-5,3.5827300008741906E-9,3.5827300008741906E-9,262.2,17.4,37.823364,-122.4573554,"13:58:19",1.0,-5.600000001493299E-6,-3.530000000750988E-5,1.2774500005469225E-9,1.2774500005469225E-9,0.010689770216895994
"13:58:20",262.2,17.4,37.8131961,-122.4542141,"13:58:20",1.0,3.279999999961092E-5,-4.579999999521078E-5,3.1734799995357843E-9,3.1734799995357843E-9,262.2,17.4,37.8233584,-122.4573907,"13:58:20",1.0,-7.199999998874773E-6,-3.409999999348656E-5,1.2146499995395802E-9,1.2146499995395802E-9,0.010647212257204722
"13:58:21",262.2,17.5,37.8132289,-122.4542599,"13:58:21",1.0,3.339999999951715E-5,-4.9700000005259426E-5,3.5856500004905325E-9,3.5856500004905325E-9,262.2,17.5,37.8233512,-122.4574248,"13:58:21",1.0,-8.899999997424857E-6,-3.0399999999985994E-5,1.0033699999533108E-9,1.0033699999533108E-9,0.010605543328844136
"13:58:22",262.1,17.5,37.8132623,-122.4543096,"13:58:22",1.0,3.290000000077953E-5,-5.190000000254713E-5,3.776020000315685E-9,3.776020000315685E-9,262.1,17.5,37.8233423,-122.4574552,"13:58:22",1.0,-1.2800000000368073E-5,-3.1800000002135675E-5,1.1750800001452517E-9,1.1750800001452517E-9,0.01055941283216159
"13:58:23",262.1,17.6,37.8132952,-122.4543615,"13:58:23",1.0,3.1400000004566664E-5,-5.050000000039745E-5,3.5362100003269284E-9,3.5362100003269284E-9,262.1,17.6,37.8233295,-122.457487,"13:58:23",1.0,-1.2599999998030853E-5,-3.28999999936741E-5,1.2411699995341333E-9,1.2411699995341333E-9,0.010509801460541165
"13:58:24",262.0,17.6,37.8133266,-122.454412,"13:58:24",1.0,3.0099999996480165E-5,-5.1599999991935874E-5,3.568569998955888E-9,3.568569998955888E-9,262.0,17.6,37.8233169,-122.4575199,"13:58:24",1.0,-1.4800000002423985E-5,-3.39000000053602E-5,1.3682500004351714E-9,1.3682500004351714E-9,0.010462558793139447
"13:58:25",262.0,17.7,37.8133567,-122.4544636,"13:58:25",1.0,2.5899999997136547E-5,-5.4300000002172055E-5,3.6193000000875584E-9,3.6193000000875584E-9,262.0,17.7,37.8233021,-122.4575538,"13:58:25",1.0,-1.619999999746824E-5,-3.8200000005872425E-5,1.7216800003666242E-9,1.7216800003666242E-9,0.010414428318443834
"13:58:26",262.0,17.7,37.8133826,-122.4545179,"13:58:26",1.0,2.6500000004148205E-5,-5.310000000235959E-5,3.5218600004704437E-9,3.5218600004704437E-9,262.0,17.7,37.8232859,-122.457592,"13:58:26",1.0,-1.3700000003780133E-5,-3.179999998792482E-5,1.1989299993355942E-9,1.1989299993355942E-9,0.010369447511807678
"13:58:27",261.9,17.8,37.8134091,-122.454571,"13:58:27",1.0,3.25999999972737E-5,-5.199999999661031E-5,3.766759999469718E-9,3.766759999469718E-9,261.9,17.8,37.8232722,-122.4576238,"13:58:27",1.0,-1.629999999863685E-5,-3.870000000461005E-5,1.763380000312379E-9,1.763380000312379E-9,0.010324743553710632
"13:58:28",261.9,17.8,37.8134417,-122.454623,"13:58:28",1.0,3.999999999848569E-5,-5.149999999787269E-5,4.252249999659743E-9,4.252249999659743E-9,261.9,17.8,37.8232559,-122.4576625,"13:58:28",1.0,-1.689999999854308E-5,-3.8900000006947266E-5,1.7988200004912535E-9,1.7988200004912535E-9,0.01027409761925682
"13:58:29",261.9,17.9,37.8134817,-122.4546745,"13:58:29",1.0,4.460000000250375E-5,-5.8199999998009844E-5,5.37639999999168E-9,5.37639999999168E-9,261.9,17.9,37.823239,-122.4577014,"13:58:29",1.0,-1.9299999998168005E-5,-3.949999999974807E-5,1.9327399999093825E-9,1.9327399999093825E-9,0.010216018152887724
"13:58:30",261.9,17.9,37.8135263,-122.4547327,"13:58:30",1.0,5.2900000000022374E-5,-6.199999999978445E-5,6.642409999975639E-9,6.642409999975639E-9,261.9,17.9,37.8232197,-122.4577409,"13:58:30",1.0,-2.0500000005085894E-5,-4.1699999997035775E-5,2.1591399999613054E-9,2.1591399999613054E-9,0.01014944682237057
"13:58:31",261.9,17.9,37.8135792,-122.4547947,"13:58:31",1.0,6.67999999990343E-5,-6.0300000001234366E-5,8.098330000019846E-9,8.098330000019846E-9,261.9,17.9,37.8231992,-122.4577826,"13:58:31",1.0,-2.3399999996343013E-5,-4.369999999198626E-5,2.4572499991284523E-9,2.4572499991284523E-9,0.010073328467294832
"13:58:32",261.9,18.0,37.813646,-122.454855,"13:58:32",1.0,8.480000000332666E-5,-5.370000000937125E-5,1.0074730001570675E-8,1.0074730001570675E-8,261.9,18.0,37.8231758,-122.4578263,"13:58:32",1.0,-2.5600000000736145E-5,-4.3700000006197115E-5,2.5650500005793184E-9,2.5650500005793184E-9,0.009982269868624353
"13:58:33",261.9,18.0,37.8137308,-122.4549087,"13:58:33",1.0,9.850000000000136E-5,-4.959999999698539E-5,1.2162409999701219E-8,1.2162409999701219E-8,261.9,18.0,37.8231502,-122.45787,"13:58:33",1.0,-2.729999999928623E-5,-4.979999999932261E-5,3.22532999989356E-9,3.22532999989356E-9,0.009873924956669953
